Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;3696 - Taxa de câmbio - Livre - Dólar americano (venda) - Fim de período - mensal - u.m.c./US$;4390 - Taxa de juros - Selic acumulada no mês - % a.m.;Índice Geral de Preços - IGP-M(200045);IGP-M - Fechamento mensal (%)(1000367);INCC-M - Fechamento mensal (%)(1000370);IPA-M - Fechamento mensal (% mês)  (1478707);IPAEP-M Ipa - todos os itens - Nro. Índice(1473921);IPC/BR-M - Fechamento Mensal - % (POF 2017/2018). Vigência a partir de 01/2020(1448925)
05/1991;7.43;284.7;9.56;0.007575021;7.48;;;;7.35
06/1991;11.19;312.22;10.32;0.008217406;8.48;;;;9.62
07/1991;12.41;346.57;12.39;0.009303743;13.22;;;;12.17
08/1991;15.63;393.76;15.75;0.0107227;15.25;;;;14.83
09/1991;15.63;464.93;19.78;0.0123231;14.93;;;;16.1
10/1991;20.23;645.02;25.95;0.0151122;22.63;;;;20.6
11/1991;25.21;840.4;32.43;0.0189843;25.62;;;;27.42
12/1991;23.71;;31.17;0.0234711;23.63;;;;23.98
01/1992;25.94;;29.06;0.0290001;23.56;;;;25.09
02/1992;24.32;;28.76;0.0370788;27.86;;;;26.93
03/1992;21.4;;26.86;0.0450114;21.39;;;;21.09
04/1992;19.93;;23.92;0.0539861;19.94;;;;20.58
05/1992;24.86;;23.0;0.0650128;20.43;;;;21.87
06/1992;20.21;;24.28;0.0803615;23.61;;;;23.27
07/1992;21.83;;26.21;0.0979085;21.84;;;;21.01
08/1992;22.14;;25.65;0.122022;24.63;;;;23.14
09/1992;24.63;;27.66;0.152858;25.27;;;;25.52
10/1992;25.24;;28.18;0.193765;26.76;;;;26.58
11/1992;22.49;;26.4;0.239162;23.43;;;;23.88
12/1992;25.24;;25.92;0.299133;25.08;;;;23.88
01/1993;30.35;;28.52;0.376399;25.83;;;;28.43
02/1993;24.98;;28.9;0.483339;28.42;;;;28.94
03/1993;27.26;;28.36;0.610231;26.25;;;;25.63
04/1993;27.75;;30.53;0.786181;28.83;;;;29.53
05/1993;27.69;;30.9;1.01968;29.7;;;;29.81
06/1993;30.07;;31.91;1.34083;31.49;;;;32.47
07/1993;30.72;;32.73;1.75986;31.25;;;;31.55
08/1993;32.96;94.652;34.64;2.31924;31.79;;;;32.59
09/1993;35.69;128.07;37.23;3.13751;35.28;;;;34.69
10/1993;33.92;174.0;38.4;4.2368;35.04;;;;34.71
11/1993;35.56;235.98;38.38;5.76854;36.15;;;;36.09
12/1993;36.84;326.105;40.38;7.97925;38.32;;;;38.5
01/1994;41.31;458.66;42.76;11.0968;39.07;;;;40.9
02/1994;40.27;637.45;41.99;15.6219;40.78;;;;41.13
03/1994;42.75;913.345;46.42;22.7628;45.71;;;;44.22
04/1994;42.68;;46.49;32.0749;40.91;;;;43.73
05/1994;44.03;;47.95;45.7316;42.58;;;;44.02
06/1994;47.43;;50.62;66.4082;45.21;;;;48.2
07/1994;6.84;0.94;6.87;92.9684;40.0;;;;44.52
08/1994;1.86;0.889;4.17;100.0;7.56;;;;8.16
